기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2022,4,A,골목상권,2110476,역촌역 2번,1412,760,652,3,180,328,393,324,184,1,64,162,221,174,138,2,116,166,172,150,46
2022,4,A,골목상권,2110475,백련산해모로아파트,2427,1313,1114,3,275,436,520,560,633,2,122,211,271,274,433,1,153,225,249,286,200
2022,4,A,골목상권,2110474,세명컴퓨터고등학교,2172,1034,1138,6,329,533,548,467,289,5,120,275,242,204,188,1,209,258,306,263,101
2022,4,A,골목상권,2110473,구산역 1번,4113,2032,2081,11,518,794,1040,1015,735,5,204,414,507,425,477,6,314,380,533,590,258
2022,4,A,골목상권,2110472,연신내역 4번,2455,1251,1204,11,334,479,638,552,441,6,127,253,292,262,311,5,207,226,346,290,130
2022,4,A,골목상권,2110471,응암동우체국,1908,1001,907,2,228,332,461,530,355,1,96,145,211,287,261,1,132,187,250,243,94
2022,4,A,골목상권,2110470,신진과학기술고등학교,2093,1305,788,2,198,318,474,517,584,2,95,170,262,309,467,0,103,148,212,208,117
2022,4,A,골목상권,2110469,응암정보도서관,3141,1523,1618,2,316,577,809,898,539,0,113,270,378,427,335,2,203,307,431,471,204
2022,4,A,골목상권,2110468,응암역 3번,4875,2420,2455,6,465,813,1295,1325,971,1,170,377,615,633,624,5,295,436,680,692,347
2022,4,A,골목상권,2110467,은평요양병원,1671,867,804,7,217,398,414,360,275,6,97,221,214,162,167,1,120,177,200,198,108
2022,4,A,골목상권,2110466,구산역 2번,3312,1361,1951,12,538,687,831,818,426,3,172,280,347,320,239,9,366,407,484,498,187
2022,4,A,골목상권,2110465,연신내역 7번,2686,1136,1550,10,437,647,652,580,360,5,132,295,276,227,201,5,305,352,376,353,159
2022,4,A,골목상권,2110464,연신내역 5번,2541,1368,1173,8,266,525,663,583,496,5,105,271,308,312,367,3,161,254,355,271,129
2022,4,A,골목상권,2110463,응암3동주민센터,1096,480,616,2,113,200,291,307,183,1,42,69,109,143,116,1,71,131,182,164,67
2022,4,A,골목상권,2110462,갈현건영아파트,1895,1102,793,9,264,445,440,425,312,6,139,269,256,223,209,3,125,176,184,202,103
2022,4,A,골목상권,2110461,새절역 2번,1064,588,476,2,102,151,247,304,258,1,40,59,115,173,200,1,62,92,132,131,58
2022,4,A,골목상권,2110460,구산역 4번,4650,2629,2021,14,389,739,1103,1501,904,6,161,384,536,911,631,8,228,355,567,590,273
2022,4,A,골목상권,2110459,응암역 2번,3508,1670,1838,4,356,682,987,918,561,1,143,326,439,399,362,3,213,356,548,519,199
2022,4,A,골목상권,2110458,선일여고,2056,993,1063,9,309,535,480,491,232,5,138,283,226,197,144,4,171,252,254,294,88
2022,4,A,골목상권,2110457,예일여고,4039,2288,1751,11,383,599,859,1344,843,2,149,279,424,826,608,9,234,320,435,518,235
2022,4,A,골목상권,2110456,구산보건지소,3451,1673,1778,13,646,727,840,730,495,4,277,335,365,355,337,9,369,392,475,375,158
2022,4,A,골목상권,2110455,역촌노인복지관,3912,1926,1986,7,599,783,1036,909,578,3,258,380,472,412,401,4,341,403,564,497,177
2022,4,A,골목상권,2110454,선정중학교,3136,1975,1161,7,297,545,749,1025,513,3,138,284,381,749,420,4,159,261,368,276,93
2022,4,A,골목상권,2110453,신사1동주민센터,2866,1630,1236,3,295,597,767,684,520,3,160,297,422,377,371,0,135,300,345,307,149
2022,4,A,골목상권,2110452,새절역 3번,1444,869,575,3,116,220,343,416,346,3,59,102,181,239,285,0,57,118,162,177,61
2022,4,A,골목상권,2110451,증산역 4번,3034,2083,951,4,382,662,756,739,491,3,166,453,530,528,403,1,216,209,226,211,88
2022,4,A,골목상권,2110450,시립서북병원,4533,2159,2374,8,894,1069,1015,919,628,2,331,496,489,431,410,6,563,573,526,488,218
2022,4,A,골목상권,2110449,증산역 3번,3046,1961,1085,1,417,740,797,725,366,0,164,495,543,508,251,1,253,245,254,217,115
2022,4,A,골목상권,2110448,상신초등학교입구,1375,785,590,3,145,292,338,322,275,1,88,163,177,167,189,2,57,129,161,155,86
2022,4,A,골목상권,2110447,구산초등학교,1694,1213,481,2,100,239,363,721,269,0,46,110,217,608,232,2,54,129,146,113,37
2022,4,A,골목상권,2110446,내를건너서숲으로도서관,1148,777,371,0,135,243,292,279,199,0,95,161,174,174,173,0,40,82,118,105,26
2022,4,A,골목상권,2110445,덕산중학교,1312,649,663,5,274,319,252,247,215,0,87,169,142,108,143,5,187,150,110,139,72
2022,4,A,골목상권,2110444,수색성당,2661,1802,859,0,198,389,448,542,1084,0,77,194,209,332,990,0,121,195,239,210,94
2022,4,A,골목상권,2110443,수색역 1번,434,287,147,0,42,62,103,136,91,0,17,34,66,96,74,0,25,28,37,40,17
2022,4,A,골목상권,2110442,화랑대철도공원,1159,494,665,2,139,197,301,376,144,2,48,69,108,178,89,0,91,128,193,198,55
2022,4,A,골목상권,2110441,영신여고,1046,454,592,3,105,241,283,309,105,3,45,111,107,126,62,0,60,130,176,183,43
2022,4,A,골목상권,2110440,상계3동4동주민센터,231,87,144,1,38,35,61,53,43,0,13,11,23,19,21,1,25,24,38,34,22
2022,4,A,골목상권,2110439,당고개역 5번,1670,1328,342,1,65,111,343,684,466,0,20,60,265,575,408,1,45,51,78,109,58
2022,4,A,골목상권,2110438,경춘선숲길 우측,3326,1509,1817,2,552,854,911,715,292,1,156,360,411,369,212,1,396,494,500,346,80
2022,4,A,골목상권,2110437,당고개역 2번,2037,1506,531,1,104,171,467,791,503,0,40,88,309,634,435,1,64,83,158,157,68
2022,4,A,골목상권,2110436,상계제일중학교,2066,1047,1019,12,209,464,514,508,359,7,73,229,274,237,227,5,136,235,240,271,132
2022,4,A,골목상권,2110435,서울과학기술대,1792,1224,568,2,186,412,462,475,255,0,112,256,301,331,224,2,74,156,161,144,31
2022,4,A,골목상권,2110434,태릉입구역 4번,3300,1461,1839,4,314,539,764,908,771,2,129,312,364,332,322,2,185,227,400,576,449
2022,4,A,골목상권,2110433,공릉역 2번,4470,2428,2042,8,421,620,969,1270,1182,3,195,339,507,667,717,5,226,281,462,603,465
2022,4,A,골목상권,2110432,대진고등학교,3496,2336,1160,5,355,682,898,1023,533,2,168,399,577,774,416,3,187,283,321,249,117
2022,4,A,골목상권,2110431,상계역,1658,716,942,4,180,322,440,437,275,0,50,144,212,164,146,4,130,178,228,273,129
2022,4,A,골목상권,2110430,중계초등학교,1642,961,681,6,165,297,390,441,343,2,77,164,213,244,261,4,88,133,177,197,82
2022,4,A,골목상권,2110429,공릉동 국수거리,5223,2800,2423,7,523,744,1099,1485,1365,3,246,412,543,754,842,4,277,332,556,731,523
2022,4,A,골목상권,2110428,상계5동주민센터,2338,1163,1175,7,172,298,441,608,812,3,62,155,202,282,459,4,110,143,239,326,353
2022,4,A,골목상권,2110427,노원 을지대학교병원,2885,2027,858,3,300,579,725,832,446,0,149,351,505,667,355,3,151,228,220,165,91
2022,4,A,골목상권,2110426,상계2동주민센터,2834,1540,1294,16,401,546,733,694,444,11,153,300,370,386,320,5,248,246,363,308,124
2022,4,A,골목상권,2110425,계상초등학교,2572,1219,1353,6,228,345,564,659,770,4,90,195,248,280,402,2,138,150,316,379,368
2022,4,A,골목상권,2110424,상계초등학교,2079,864,1215,5,272,368,533,553,348,5,89,181,216,215,158,0,183,187,317,338,190
2022,4,A,골목상권,2110423,석계역 2번,1883,895,988,5,253,375,553,418,279,3,106,197,271,183,135,2,147,178,282,235,144
2022,4,A,골목상권,2110422,노원역 9번,1955,819,1136,3,268,390,499,508,287,1,81,196,208,195,138,2,187,194,291,313,149
2022,4,A,골목상권,2110421,석계역 1번,1716,845,871,4,186,278,426,473,349,2,71,119,191,230,232,2,115,159,235,243,117
2022,4,A,골목상권,2110420,광운대역 1번,1718,979,739,10,353,518,466,244,127,3,175,350,258,123,70,7,178,168,208,121,57
2022,4,A,골목상권,2110419,수락산디자인거리,4260,2771,1489,13,429,898,1053,1126,741,12,245,615,683,706,510,1,184,283,370,420,231
2022,4,A,골목상권,2110418,광운대학교 남단,2484,1345,1139,17,445,664,598,481,279,5,192,396,291,252,209,12,253,268,307,229,70
2022,4,A,골목상권,2110417,월계역 3번,441,184,257,2,62,77,94,122,84,2,23,41,37,47,34,0,39,36,57,75,50
2022,4,A,골목상권,2110416,노원초등학교,1385,669,716,8,135,266,331,352,293,6,53,138,153,171,148,2,82,128,178,181,145
2022,4,A,골목상권,2110415,수락산역 4번,3553,1980,1573,19,461,687,836,890,660,16,254,421,481,483,325,3,207,266,355,407,335
2022,4,A,골목상권,2110414,장석교회,752,511,241,5,70,109,166,205,197,3,38,57,98,139,176,2,32,52,68,66,21
2022,4,A,골목상권,2110413,누원고등학교,580,375,205,0,37,71,120,164,188,0,16,45,70,104,140,0,21,26,50,60,48
2022,4,A,골목상권,2110412,창동중학교,1521,1149,372,3,118,224,267,505,404,1,73,121,160,412,382,2,45,103,107,93,22
2022,4,A,골목상권,2110411,도봉역 3번,1802,1132,670,2,126,304,360,519,491,1,33,150,187,351,410,1,93,154,173,168,81
2022,4,A,골목상권,2110410,방학역 2번,5708,3428,2280,10,558,1304,1395,1507,934,9,280,756,767,936,680,1,278,548,628,571,254
2022,4,A,골목상권,2110409,창동역 2번,6649,4154,2495,6,756,1498,1635,1402,1352,4,385,1020,1098,743,904,2,371,478,537,659,448
2022,4,A,골목상권,2110408,가인초등학교,5577,3850,1727,5,581,1307,1343,1121,1220,3,343,986,1014,685,819,2,238,321,329,436,401
2022,4,A,골목상권,2110407,도봉역 2번,2678,1900,778,7,190,399,535,778,769,5,95,243,303,572,682,2,95,156,232,206,87
2022,4,A,골목상권,2110406,도봉산역 1번,1362,928,434,0,45,103,268,453,493,0,17,63,189,336,323,0,28,40,79,117,170
2022,4,A,골목상권,2110405,방학역 1번,2975,1622,1353,6,288,534,730,892,525,5,159,353,350,369,386,1,129,181,380,523,139
2022,4,A,골목상권,2110404,신창초등학교,2334,1247,1087,11,291,485,642,611,294,8,108,229,337,362,203,3,183,256,305,249,91
2022,4,A,골목상권,2110403,방학1동주민센터,3553,1965,1588,10,456,716,860,1052,459,6,261,473,457,498,270,4,195,243,403,554,189
2022,4,A,골목상권,2110402,도봉구 정병원,2172,1117,1055,5,296,450,517,579,325,4,109,246,277,283,198,1,187,204,240,296,127
2022,4,A,골목상권,2110401,도봉구민회관,5856,3856,2000,1,599,1299,1388,1267,1302,0,346,940,977,718,875,1,253,359,411,549,427
2022,4,A,골목상권,2110400,도봉구보건소,2134,1058,1076,4,298,390,510,558,374,3,99,190,250,278,238,1,199,200,260,280,136
2022,4,A,골목상권,2110399,창2동주민센터,1982,1088,894,10,245,463,553,465,246,9,128,273,295,219,164,1,117,190,258,246,82
2022,4,A,골목상권,2110398,쌍문2동우체국,2359,1255,1104,1,247,367,547,725,472,1,87,168,253,427,319,0,160,199,294,298,153
2022,4,A,골목상권,2110397,도봉산입구,1579,963,616,1,95,207,290,413,573,1,25,106,157,272,402,0,70,101,133,141,171
2022,4,A,골목상권,2110396,쌍문역1번(쌍리단길),1577,763,814,4,242,329,382,395,225,1,84,135,198,208,137,3,158,194,184,187,88
2022,4,A,골목상권,2110395,신한은행 방학동지점,1120,597,523,4,157,280,302,227,150,3,72,148,158,121,95,1,85,132,144,106,55
2022,4,A,골목상권,2110394,방학중학교,1435,629,806,1,142,279,358,336,319,1,52,119,150,152,155,0,90,160,208,184,164
2022,4,A,골목상권,2110393,국민은행방학지점,1001,461,540,3,124,275,252,240,107,2,39,137,120,96,67,1,85,138,132,144,40
2022,4,A,골목상권,2110392,발바닥공원,704,449,255,3,99,210,202,121,69,2,39,126,148,81,53,1,60,84,54,40,16
2022,4,A,골목상권,2110391,샘말어린이공원,1172,574,598,0,93,215,234,283,347,0,34,95,107,140,198,0,59,120,127,143,149
2022,4,A,골목상권,2110390,방학초등학교,1901,820,1081,3,194,445,458,515,286,2,59,201,209,188,161,1,135,244,249,327,125
2022,4,A,골목상권,2110389,한일병원,3050,1577,1473,1,573,707,741,679,349,1,171,353,410,396,246,0,402,354,331,283,103
2022,4,A,골목상권,2110388,도봉우체국,2071,923,1148,4,436,450,512,485,184,3,105,207,224,244,140,1,331,243,288,241,44
2022,4,A,골목상권,2110387,쌍문초등학교,1678,803,875,0,227,365,452,414,220,0,67,151,187,208,190,0,160,214,265,206,30
2022,4,A,골목상권,2110386,연산군묘,1120,668,452,0,136,219,227,306,232,0,61,122,131,158,196,0,75,97,96,148,36
2022,4,A,골목상권,2110385,효문고등학교,780,268,512,0,136,158,203,185,98,0,33,42,60,71,62,0,103,116,143,114,36
2022,4,A,골목상권,2110384,문이교,622,295,327,1,71,88,145,188,129,0,21,33,51,98,92,1,50,55,94,90,37
2022,4,A,골목상권,2110383,덕성여대시반거리,494,170,324,0,83,84,121,116,90,0,12,24,42,39,53,0,71,60,79,77,37
2022,4,A,골목상권,2110382,솔밭공원역 1번,967,418,549,1,145,169,222,256,174,0,31,52,83,123,129,1,114,117,139,133,45
2022,4,A,골목상권,2110381,번동주공2단지,1056,559,497,5,107,230,262,299,153,4,33,95,131,178,118,1,74,135,131,121,35
2022,4,A,골목상권,2110380,강북문화정보도서관,980,504,476,5,99,143,203,291,239,3,30,74,101,150,146,2,69,69,102,141,93
2022,4,A,골목상권,2110379,KT&G 북부지사,767,383,384,2,97,108,197,257,106,0,47,44,83,145,64,2,50,64,114,112,42
2022,4,A,골목상권,2110378,송중동주민센터,1170,548,622,8,119,172,339,287,245,6,52,74,144,126,146,2,67,98,195,161,99
2022,4,A,골목상권,2110377,미아사거리역 3번,1050,449,601,7,158,220,271,253,141,6,51,81,107,112,92,1,107,139,164,141,49
2022,4,A,골목상권,2110376,수송초등학교,4978,2722,2256,8,551,1213,1234,1264,708,6,230,624,673,782,407,2,321,589,561,482,301
2022,4,A,골목상권,2110375,서울북부고용노동지청,1301,632,669,2,141,171,335,392,260,0,58,78,134,204,158,2,83,93,201,188,102
2022,4,A,골목상권,2110374,송중초등학교,2009,977,1032,7,186,338,530,528,420,6,61,128,222,264,296,1,125,210,308,264,124
2022,4,A,골목상권,2110373,수유역 2번,4903,2639,2264,10,549,1094,1104,1278,868,8,214,534,563,814,506,2,335,560,541,464,362
2022,4,A,골목상권,2110372,강북중학교,1588,852,736,1,167,364,452,356,248,1,87,203,249,169,143,0,80,161,203,187,105
2022,4,A,골목상권,2110371,삼양입구사거리,1233,656,577,2,114,236,332,331,218,2,43,109,155,183,164,0,71,127,177,148,54
2022,4,A,골목상권,2110370,도봉세무서,1385,735,650,7,100,222,365,379,312,6,28,93,168,200,240,1,72,129,197,179,72
2022,4,A,골목상권,2110369,성신여대운정그린캠퍼스,4108,2368,1740,5,481,782,894,1069,877,1,210,445,512,655,545,4,271,337,382,414,332
2022,4,A,골목상권,2110368,송천초등학교,5342,2779,2563,416,2025,1339,744,507,311,177,905,732,414,294,257,239,1120,607,330,213,54
2022,4,A,골목상권,2110367,강북구청,5008,2534,2474,10,519,1028,1016,1220,1215,8,207,520,524,762,513,2,312,508,492,458,702
2022,4,A,골목상권,2110366,광산사거리,3568,1624,1944,6,321,730,793,840,878,4,125,324,383,466,322,2,196,406,410,374,556
2022,4,A,골목상권,2110365,미아역 5번,1610,747,863,3,136,224,389,402,456,3,45,85,163,219,232,0,91,139,226,183,224
2022,4,A,골목상권,2110364,미아역 8번,1852,961,891,3,226,366,513,491,253,1,85,173,274,268,160,2,141,193,239,223,93
2022,4,A,골목상권,2110363,송천동주민센터,819,499,320,2,54,138,220,209,196,1,23,71,116,131,157,1,31,67,104,78,39
2022,4,A,골목상권,2110362,우이천 계성교,2117,1320,797,2,227,296,541,686,365,0,74,153,330,480,283,2,153,143,211,206,82
2022,4,A,골목상권,2110361,삼양사거리역 1번,1111,550,561,3,66,131,213,280,418,2,24,58,105,156,205,1,42,73,108,124,213
2022,4,A,골목상권,2110360,수유초등학교,2635,1274,1361,5,299,387,567,782,595,1,79,163,238,375,418,4,220,224,329,407,177
2022,4,A,골목상권,2110359,수유시장옆,5157,2359,2798,6,450,898,1053,1316,1434,4,136,365,470,708,676,2,314,533,583,608,758
2022,4,A,골목상권,2110358,인수동 우편취급국,2810,1471,1339,2,265,403,554,783,803,0,80,179,255,417,540,2,185,224,299,366,263
2022,4,A,골목상권,2110357,가오리역 1번,2401,1556,845,1,127,166,397,647,1063,0,34,71,252,471,728,1,93,95,145,176,335
2022,4,A,골목상권,2110356,덕수교,2011,1093,918,0,145,214,368,345,939,0,37,85,163,165,643,0,108,129,205,180,296
2022,4,A,골목상권,2110355,삼양사거리역 2번,905,486,419,2,85,153,223,225,217,1,22,49,110,139,165,1,63,104,113,86,52
2022,4,A,골목상권,2110354,삼각산119안전센터,365,141,224,1,38,87,110,81,48,0,9,25,45,32,30,1,29,62,65,49,18
2022,4,A,골목상권,2110353,수유동우체국,2389,1550,839,0,129,158,408,615,1079,0,26,73,267,444,740,0,103,85,141,171,339
2022,4,A,골목상권,2110352,수유1동주민센터,1621,708,913,1,183,303,456,479,199,0,61,122,184,209,132,1,122,181,272,270,67
2022,4,A,골목상권,2110351,수유북부시장옆,1877,1274,603,0,96,227,484,737,333,0,36,133,349,484,272,0,60,94,135,253,61
2022,4,A,골목상권,2110350,가오리역 2번,2640,1559,1081,0,221,477,709,807,426,0,62,232,442,507,316,0,159,245,267,300,110
2022,4,A,골목상권,2110349,화계역 2번,1164,619,545,0,95,179,284,397,209,0,37,65,127,214,176,0,58,114,157,183,33
2022,4,A,골목상권,2110348,강북문화예술회관,3953,2554,1399,0,227,512,876,1129,1209,0,65,242,587,813,847,0,162,270,289,316,362
2022,4,A,골목상권,2110347,구세군강북종합사회복지관,443,186,257,0,54,96,140,85,68,0,10,34,63,36,43,0,44,62,77,49,25
2022,4,A,골목상권,2110346,4.19민주묘지역 2번,754,369,385,0,109,137,212,161,135,0,22,69,113,81,84,0,87,68,99,80,51
2022,4,A,골목상권,2110345,솔밭공원역 2번,1604,918,686,1,168,207,320,549,359,0,35,65,142,387,289,1,133,142,178,162,70
2022,4,A,골목상권,2110344,화계중학교,815,417,398,0,75,148,217,296,79,0,39,57,111,143,67,0,36,91,106,153,12
2022,4,A,골목상권,2110343,무너미어린이공원,2303,1336,967,0,149,297,429,446,982,0,49,177,246,213,651,0,100,120,183,233,331
2022,4,A,골목상권,2110342,국립재활원,2250,1364,886,1,194,476,644,645,290,0,66,242,426,420,210,1,128,234,218,225,80
2022,4,A,골목상권,2110341,북한산우이역 2번,860,529,331,0,44,68,132,304,312,0,14,31,72,258,154,0,30,37,60,46,158
2022,4,A,골목상권,2110340,인수중학교,1205,760,445,6,164,256,276,329,174,6,81,173,168,189,143,0,83,83,108,140,31
2022,4,A,골목상권,2110339,국립4.19민주묘지,1097,718,379,6,146,196,248,305,196,6,67,139,153,190,163,0,79,57,95,115,33
2022,4,A,골목상권,2110338,인수초등학교,1955,1067,888,6,266,494,469,470,250,6,111,260,248,248,194,0,155,234,221,222,56
2022,4,A,골목상권,2110337,아카데미하우스,1438,921,517,6,178,311,344,390,209,6,85,207,216,232,175,0,93,104,128,158,34
2022,4,A,골목상권,2110336,석관고등학교,1951,1389,562,1,128,204,257,338,1023,0,66,113,151,240,819,1,62,91,106,98,204
2022,4,A,골목상권,2110335,석계역 7번,2887,1837,1050,2,243,313,463,598,1268,0,99,147,243,370,978,2,144,166,220,228,290
2022,4,A,골목상권,2110334,석관중앙교회,1691,1099,592,3,192,394,413,449,240,0,95,241,244,324,195,3,97,153,169,125,45
2022,4,A,골목상권,2110333,돌곶이역 5번,2875,2051,824,4,237,375,414,553,1292,0,107,239,264,375,1066,4,130,136,150,178,226
2022,4,A,골목상권,2110332,돌곶이역 3번,2402,1642,760,6,189,237,310,429,1231,1,74,125,174,259,1009,5,115,112,136,170,222
2022,4,A,골목상권,2110331,돌곶이역 8번,1331,817,514,4,173,283,315,283,273,0,60,182,193,164,218,4,113,101,122,119,55
2022,4,A,골목상권,2110330,돌곶이역 1번,1199,626,573,1,137,217,277,273,294,0,40,102,128,127,229,1,97,115,149,146,65
2022,4,A,골목상권,2110329,우리은행체육관,1280,745,535,8,131,269,305,313,254,4,45,134,165,200,197,4,86,135,140,113,57
2022,4,A,골목상권,2110328,상월곡역 3번,966,544,422,4,142,252,268,208,92,1,59,142,158,118,66,3,83,110,110,90,26
2022,4,A,골목상권,2110327,상월곡역 2번,1998,1149,849,5,355,494,539,387,218,1,166,295,311,215,161,4,189,199,228,172,57
2022,4,A,골목상권,2110326,장위동성당,2029,1211,818,4,314,426,541,433,311,3,149,249,314,263,233,1,165,177,227,170,78
2022,4,A,골목상권,2110325,장곡초등학교,1638,957,681,8,198,313,438,380,301,6,100,176,257,221,197,2,98,137,181,159,104
2022,4,A,골목상권,2110324,월곡역 4번,3140,1982,1158,5,533,1043,730,527,302,1,265,704,453,335,224,4,268,339,277,192,78
2022,4,A,골목상권,2110323,상월곡역 1번,4067,2556,1511,5,678,1174,962,808,440,1,336,790,596,503,330,4,342,384,366,305,110
2022,4,A,골목상권,2110322,장위1동주민센터,1274,741,533,8,218,235,278,270,265,4,110,153,164,146,164,4,108,82,114,124,101
2022,4,A,골목상권,2110321,동덕여대,2313,1366,947,1,299,420,551,516,526,0,134,242,299,273,418,1,165,178,252,243,108
2022,4,A,골목상권,2110320,KB국민은행 종암동지점,1182,673,509,1,119,228,369,325,140,1,35,101,200,239,97,0,84,127,169,86,43
2022,4,A,골목상권,2110319,종암동주민센터,2766,1528,1238,6,392,614,672,775,307,1,178,373,362,458,156,5,214,241,310,317,151
2022,4,A,골목상권,2110318,KT월곡지사,4670,3051,1619,8,464,852,998,1077,1271,3,232,511,595,716,994,5,232,341,403,361,277
2022,4,A,골목상권,2110317,종암중학교,984,490,494,0,108,232,312,228,104,0,37,97,154,140,62,0,71,135,158,88,42
2022,4,A,골목상권,2110316,숭곡초등학교,3749,2252,1497,12,320,511,783,810,1313,11,132,241,383,471,1014,1,188,270,400,339,299
2022,4,A,골목상권,2110315,종암아이파크2차,19523,10008,9515,57,1546,5002,7164,5525,229,13,627,1664,3177,4378,149,44,919,3338,3987,1147,80
2022,4,A,골목상권,2110314,종암경찰서,22088,12093,9995,63,1812,5489,7636,6091,997,14,829,2083,3572,4842,753,49,983,3406,4064,1249,244
2022,4,A,골목상권,2110313,안암역 3번,4486,2929,1557,7,548,1055,1239,1027,610,3,263,654,815,721,473,4,285,401,424,306,137
2022,4,A,골목상권,2110312,안암역 2번,1666,856,810,1,199,457,563,337,109,0,70,198,309,204,75,1,129,259,254,133,34
2022,4,A,골목상권,2110311,종암아이파크2차후문,18419,9472,8947,55,1397,4775,6829,5279,84,12,583,1567,3015,4229,66,43,814,3208,3814,1050,18
2022,4,A,골목상권,2110310,길음역 10번,2304,969,1335,10,637,675,493,352,137,1,143,321,258,161,85,9,494,354,235,191,52
2022,4,A,골목상권,2110309,대광초등학교,3669,2531,1138,12,521,883,910,786,557,4,294,622,640,561,410,8,227,261,270,225,147
2022,4,A,골목상권,2110308,길음역 8번,7178,3463,3715,428,2655,1922,1125,688,360,177,1050,1021,613,334,268,251,1605,901,512,354,92
2022,4,A,골목상권,2110307,길음역 7번,2596,948,1648,10,718,682,547,427,212,0,146,268,216,179,139,10,572,414,331,248,73
2022,4,A,골목상권,2110306,미아초등학교,5376,2688,2688,419,2073,1365,788,449,282,176,923,736,412,220,221,243,1150,629,376,229,61
2022,4,A,골목상권,2110305,보문역 5번,6471,4952,1519,11,812,2114,1358,1346,830,5,488,1734,1085,1066,574,6,324,380,273,280,256
2022,4,A,골목상권,2110304,보문역 4번,5081,2911,2170,4,547,1204,1258,1332,736,3,248,624,733,863,440,1,299,580,525,469,296
2022,4,A,골목상권,2110303,성신여대입구역 1번,2302,983,1319,23,343,507,539,532,358,11,93,195,230,247,207,12,250,312,309,285,151
2022,4,A,골목상권,2110302,보문역 8번,6611,5075,1536,7,801,2204,1491,1413,695,2,445,1775,1209,1164,480,5,356,429,282,249,215
2022,4,A,골목상권,2110301,성신여대입구역 7번,2407,1250,1157,22,336,473,551,587,438,16,112,206,285,329,302,6,224,267,266,258,136
2022,4,A,골목상권,2110300,삼선동주민센터,7082,3275,3807,21,849,1747,2084,1699,682,12,261,673,916,1026,387,9,588,1074,1168,673,295
2022,4,A,골목상권,2110299,정릉역 1번,2389,1112,1277,6,327,495,591,580,390,1,79,200,234,301,297,5,248,295,357,279,93
2022,4,A,골목상권,2110298,솔숲어린이공원,1609,756,853,6,199,274,412,438,280,1,58,98,163,222,214,5,141,176,249,216,66
2022,4,A,골목상권,2110297,경동고등학교,9374,4825,4549,19,1150,2351,2816,2260,778,8,435,1116,1431,1392,443,11,715,1235,1385,868,335
2022,4,A,골목상권,2110296,성신여대입구역 4번,13044,7926,5118,60,2010,3119,4030,2350,1475,26,917,1816,2693,1739,735,34,1093,1303,1337,611,740
2022,4,A,골목상권,2110295,정릉우체국,2490,1166,1324,2,366,486,617,609,410,0,99,203,246,329,289,2,267,283,371,280,121
2022,4,A,골목상권,2110294,서경대학교,2549,1324,1225,1,378,447,634,629,460,0,105,193,305,381,340,1,273,254,329,248,120
2022,4,A,골목상권,2110293,삼선중학교,16035,9034,7001,63,2380,3897,5184,2868,1643,27,1059,2173,3103,1899,773,36,1321,1724,2081,969,870
2022,4,A,골목상권,2110292,정릉역 2번,1455,558,897,1,246,356,390,314,148,0,62,144,125,131,96,1,184,212,265,183,52
2022,4,A,골목상권,2110291,한성대입구역 3번,4682,2808,1874,4,513,944,1389,1258,574,2,184,541,891,836,354,2,329,403,498,422,220
2022,4,A,골목상권,2110290,북한산보국문역 1번,1034,535,499,2,104,127,218,313,270,0,28,65,110,176,156,2,76,62,108,137,114
2022,4,A,골목상권,2110289,북한산보국문역 2번,1888,951,937,0,291,395,491,441,270,0,88,179,225,255,204,0,203,216,266,186,66
2022,4,A,골목상권,2110288,동구여중,4250,2398,1852,23,496,930,1431,989,381,12,211,489,785,607,294,11,285,441,646,382,87
2022,4,A,골목상권,2110287,정릉3동주민센터,1637,1229,408,0,230,512,449,314,132,0,133,403,340,243,110,0,97,109,109,71,22
2022,4,A,골목상권,2110286,한성대입구역 5번,6385,3175,3210,20,806,1509,1805,1506,739,9,265,708,929,826,438,11,541,801,876,680,301
2022,4,A,골목상권,2110285,홍대부중,5373,2950,2423,12,1018,1547,1503,934,359,7,415,798,842,619,269,5,603,749,661,315,90
2022,4,A,골목상권,2110284,정릉북한산국립공원입구,1223,860,363,0,80,214,331,411,187,0,23,120,249,314,154,0,57,94,82,97,33
2022,4,A,골목상권,2110283,성북초등학교앞,4093,2342,1751,15,771,1263,1080,686,278,9,312,713,699,425,184,6,459,550,381,261,94
2022,4,A,골목상권,2110282,국민대학교앞,1943,1389,554,15,322,603,452,316,235,14,185,441,355,248,146,1,137,162,97,68,89
2022,4,A,골목상권,2110281,길상사,17018,13990,3028,25,2042,3972,4890,5544,545,4,1214,2904,4251,5231,386,21,828,1068,639,313,159
2022,4,A,골목상권,2110280,북정마을,14960,12846,2114,18,1405,3400,4437,5321,379,4,942,2610,3998,5030,262,14,463,790,439,291,117
